"id","leftover","species"
"ALNINC",1,"ALNINC"
"ALNINC_GR",1,"ALNINC"
"ALNINC01_GR",1,"ALNINC"
"ALNINC01_HF",2,"ALNINC"
"ALNINC02_HF",3,"ALNINC"
"ALNINC02_SH",3,"ALNINC"
"ALNINC03_SH",4,"ALNINC"
"ALNINC04_SH",1,"ALNINC"
"ALNINC05_SH",8,"ALNINC"
"ALNINC07_GR",3,"ALNINC"
"ALNINC07_SH",1,"ALNINC"
"ALNINC08_GR",4,"ALNINC"
"ALNINC08_SH",2,"ALNINC"
"ALNINC09_HF",2,"ALNINC"
"ALNINC10_GR",4,"ALNINC"
"ALNINC11_GR",4,"ALNINC"
"AMECAN03_GR",2,"AMECAN"
"AMECAN06_GR",2,"AMECAN"
"AMECAN10_GR",7,"AMECAN"
"AROMEL01_WM",1,"AROMEL"
"AROMEL02_WM",3,"AROMEL"
"AROMEL05_WM",3,"AROMEL"
"AROMEL08_HF",1,"AROMEL"
"AROMEL10_HF",1,"AROMEL"
"AROMEL12_HF",5,"AROMEL"
"AROMEL13_HF",5,"AROMEL"
"BETALL02_SH",4,"BETALL"
"BETALL04_SH",1,"BETALL"
"BETALL05_SH",2,"BETALL"
"BETALL09_SH",1,"BETALL"
"BETALL12_GR",3,"BETALL"
"BETALL14_GR",3,"BETALL"
"BETALL15_GR",3,"BETALL"
"BETPAP08_GR",1,"BETPAP"
"BETPAP16_HF",3,"BETPAP"
"BETPOP03_GR",9,"BETPOP"
"BETPOP05_GR",5,"BETPOP"
"BETPOP07_WM",4,"BETPOP"
"BETPOP08_WM",16,"BETPOP"
"BETPOP09_WM",3,"BETPOP"
"DIELON",1,"DIELON"
"DIELON01_HF",9,"DIELON"
"DIELON01_SH",6,"DIELON"
"DIELON02_HF",5,"DIELON"
"DIELON02_SH",10,"DIELON"
"DIELON04_GR",6,"DIELON"
"DIELON04_SH",5,"DIELON"
"DIELON05_GR",4,"DIELON"
"DIELON06_GR",14,"DIELON"
"DIELON08_GR",3,"DIELON"
"FAGGRA10_WM",1,"FAGGRA"
"HAMVIR12_HF",1,"HAMVIR"
"ILEMUC05_WM",3,"ILEMUC"
"ILEMUC06_WM",10,"ILEMUC"
"ILEMUC07_WM",3,"ILEMUC"
"KALANG14_HF",1,"KALANG"
"LONCAN05_GR",12,"LONCAN"
"LONCAN07_GR",1,"LONCAN"
"LONCAN08_GR",5,"LONCAN"
"MYRGAL01_SH",3,"MYRGAL"
"MYRGAL01_WM",2,"MYRGAL"
"MYRGAL06_WM",2,"MYRGAL"
"MYRGAL99_SH",8,"MYRGAL"
"QUEALB04_HF",4,"QUEALB"
"SAMRAC",1,"SAMRAC"
"SAMRAC01_GR",2,"SAMRAC"
"SAMRAC02_GR",7,"SAMRAC"
"SAMRAC04_GR",4,"SAMRAC"
"SAMRAC07_GR",7,"SAMRAC"
"SAMRAC08_GR",1,"SAMRAC"
"SAMRAC09_GR",11,"SAMRAC"
"SORAME01_SH",6,"SORAME"
"SORAME03_SH",3,"SORAME"
"SORAME09_GR",5,"SORAME"
"SORAME99_SH",7,"SORAME"
"SPIALB01_SH",9,"SPIALB"
"SPIALB02_SH",1,"SPIALB"
"SPIALB02_WM",9,"SPIALB"
"SPIALB03_GR",13,"SPIALB"
"SPIALB04_HF",4,"SPIALB"
"SPIALB04_SH",12,"SPIALB"
"SPIALB04_WM",7,"SPIALB"
"SPIALB05_GR",9,"SPIALB"
"SPIALB06_GR",12,"SPIALB"
"SPIALB07_SH",1,"SPIALB"
"SPIALB08_SH",3,"SPIALB"
"SPIALB09_GR",9,"SPIALB"
"SPIALB12_GR",1,"SPIALB"
"SPITOM",4,"SPITOM"
"SPITOM01_GR",16,"SPITOM"
"SPITOM01_WM",10,"SPITOM"
"SPITOM02_GR",7,"SPITOM"
"SPITOM02_WM",6,"SPITOM"
"SPITOM03_HF",1,"SPITOM"
"SPITOM03_WM",1,"SPITOM"
"SPITOM04_HF",1,"SPITOM"
"SPITOM04_WM",13,"SPITOM"
"SPITOM05_HF",2,"SPITOM"
"SPITOM05_WM",32,"SPITOM"
"SPITOM06_WM",9,"SPITOM"
"SPITOM09_HF",2,"SPITOM"
"VACMYR10_GR",2,"VACMYR"
"VIBCAS",1,"VIBCAS"
"VIBCAS_SH",10,"VIBCAS"
"VIBCAS01_SH",8,"VIBCAS"
"VIBCAS03_GR",2,"VIBCAS"
"VIBCAS04_WM",3,"VIBCAS"
"VIBCAS05_SH",2,"VIBCAS"
"VIBCAS06_WM",3,"VIBCAS"
"VIBCAS07_WM",2,"VIBCAS"
"VIBCAS08_GR",1,"VIBCAS"
"VIBCAS08_WM",3,"VIBCAS"
"VIBCAS09_WM",4,"VIBCAS"
"VIBCAS10_GR",1,"VIBCAS"
"VIBCAS10_SH",1,"VIBCAS"
"VIBCAS10_WM",6,"VIBCAS"
"VIBCAS11_GR",2,"VIBCAS"
"VIBCAS12_GR",15,"VIBCAS"
"VIBCAS13_GR",10,"VIBCAS"
